5.3471902327212096e-27,1.9621382300877488e-26,1.7227400056014034e-25
2.671444493696824e-26,9.799927346875172e-26,8.37299064856267e-25
5.542796337068091e-26,1.9324913822443157e-25,1.6399037009856853e-24
8.139181082948188e-26,2.6994248322000587e-25,2.2937423772581773e-24
1.0233957632020697e-25,3.2602732170539067e-25,2.777836617975183e-24
1.185020236707262e-25,3.6592746790565854e-25,3.1263176132044747e-24
1.3092464045970176e-25,3.946445190510984e-25,3.379591294325674e-24
1.4050887857405197e-25,4.156265711806008e-25,3.5662103590482e-24
1.4799643858914478e-25,4.312952187193182e-25,3.706546536176003e-24
1.539138541113598e-25,4.432135017911457e-25,3.813936174510422e-24
1.5865491625168478e-25,4.524571087399162e-25,3.897649787048782e-24
1.6249785079986188e-25,4.59741934302665e-25,3.96391678542109e-24
1.656506772420473e-25,4.65574683850713e-25,4.017177566553787e-24
1.6826380370534595e-25,4.703065102581797e-25,4.06053119467408e-24
1.7045177595078206e-25,4.741944524133551e-25,4.096258055782574e-24
1.7229966625582773e-25,4.774233857158251e-25,4.126007243529368e-24
