4.812467345775396e-21,3.876803037456568e-20
2.5034649141395827e-20,2.0026023057722207e-19
5.1219641132673895e-20,4.0708886201017253e-19
7.372726574522995e-20,5.839159887149503e-19
9.123621924269681e-20,7.208374627340385e-19
1.0439147709157384e-19,8.233852375044809e-19
1.1432754558455486e-19,9.006324289404654e-19
1.2189739089343949e-19,9.59364405031723e-19
1.2776189101780076e-19,1.0047871216200424e-18
1.323679417769044e-19,1.040413760841163e-18
1.3604305890170976e-19,1.068806240099648e-18
1.390126093498009e-19,1.0917253396514227e-18
1.4144384785567839e-19,1.1104736183885713e-18
1.4345567345928056e-19,1.12597632804029e-18
1.451384881030282e-19,1.1389353401187527e-18
1.4655861974840115e-19,1.1498653489095725e-18
