2.3342009220975097e-34,1.8048851150621193e-33
1.2804569756975185e-33,9.80483915075952e-33
2.3366574708595726e-33,1.765509127556127e-32
2.887419455221731e-33,2.1698494188566466e-32
3.146812091283631e-33,2.3601611617523916e-32
3.282483940087995e-33,2.4602386859634064e-32
3.363629639005414e-33,2.520229847002363e-32
3.4181747419003856e-33,2.5604570041414015e-32
3.457983079432772e-33,2.5896826412602227e-32
3.488658484719999e-33,2.6120936496739315e-32
3.51316885775476e-33,2.629925944055139e-32
3.533161895013601e-33,2.6444154664969665e-32
3.549721630101384e-33,2.6563755911050327e-32
3.563549303431384e-33,2.6663283679274336e-32
3.575184306030431e-33,2.6746758148630734e-32
3.585018788397177e-33,2.681708967668523e-32
