6.699368970275962e-39,2.1668310080298538e-38,2.017930589682792e-37
3.8143142282340584e-38,1.12678059850212e-37,1.0886407978778043e-36
7.693678471343117e-38,2.0585003257844188e-37,2.0301644816107443e-36
1.0497124070248984e-37,2.578716233308384e-37,2.5895912576328014e-36
1.2347099946830996e-37,2.843115089527978e-37,2.898461516718647e-36
1.3601801484387286e-37,2.9919723378967607e-37,3.084553910776801e-36
1.4478778078568873e-37,3.086871031202598e-37,3.206638333094501e-36
1.5110744437260266e-37,3.1535188191105997e-37,3.29216349238525e-36
1.5579499530533547e-37,3.2033112303111985e-37,3.3550467228219186e-36
1.5935828886200522e-37,3.2417394120155382e-37,3.402791052446234e-36
1.6213071441982488e-37,3.2720813979426913e-37,3.439981238254316e-36
1.6432672794968522e-37,3.2963371384768514e-37,3.4694367633386216e-36
1.6609531082223657e-37,3.315957609301691e-37,3.49311760911906e-36
1.6753892988802992e-37,3.3319726176102668e-37,3.512379512115771e-36
1.6873184474356185e-37,3.3451629698816136e-37,3.528219689377036e-36
1.6972836593784322e-37,3.3561240802098792e-37,3.541380189407899e-36
