8.768591771049115e-32	6.783993893287773e-31
4.736489163325086e-31	3.626728531186831e-30
8.805749396887628e-31	6.658069928440111e-30
1.11603224395102e-30	8.391893860462792e-30
1.2368748713284749e-30	9.278509072105418e-30
1.3017184801465541e-30	9.754974256727458e-30
1.3395550669466993e-30	1.0033448604806206e-29
1.3637018711583364e-30	1.0211161261555534e-29
1.3802718330066007e-30	1.0332881765443783e-29
1.3923449854597872e-30	1.0421317214454202e-29
1.401545758332815e-30	1.0488508740704515e-29
1.4088006982337271e-30	1.0541335331462244e-29
1.4146723545640665e-30	1.0583980663551884e-29
1.4195149810916141e-30	1.0619069075084943e-29
1.4235713743802454e-30	1.0648399900628519e-29
1.4270066984028784e-30	1.067319029085361e-29
